Test,Objective,Iteration,Direction
1,55,4,1
2,55,5,0
3,55,2,1
4,55,3,0
5,55,9,1
6,55,1,0
7,55,3,0
8,55,3,1
9,55,1,1
10,55,2,0
MinObj,55
MaxObj,55
MeanObj,55.00
MinIter,1
MaxIter,9
MeanIter,3.30
Direction#0,5
Direction#1,5
